"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000214	022015.975	000.413733	0.021521	1.666235e-07	0.0e+00	00:00:34.406"
"000000215	022016.050	000.395421	0.022133	1.591702e-07	0.0e+00	00:00:34.563"
"000000216	022016.125	000.381380	0.022092	1.535233e-07	0.0e+00	00:00:34.719"
"000000217	022016.200	000.391054	0.022121	1.574139e-07	0.0e+00	00:00:34.891"
"000000218	022016.275	000.442745	0.021904	1.782525e-07	0.0e+00	00:00:35.047"
"000000219	022016.350	000.430455	0.022446	1.732289e-07	0.0e+00	00:00:35.203"
"000000220	022016.425	000.328519	0.022510	1.321997e-07	0.0e+00	00:00:35.375"
"000000221	022016.500	000.488377	0.023239	1.964129e-07	0.0e+00	00:00:35.531"
"000000222	022016.575	000.489021	0.023513	1.966290e-07	0.0e+00	00:00:35.688"
"000000223	022016.650	000.477453	0.025373	1.916909e-07	0.0e+00	00:00:35.860"
"000000224	022016.725	000.422470	0.026560	1.694543e-07	0.0e+00	00:00:36.016"
"000000225	022016.800	000.354943	0.027375	1.422760e-07	0.0e+00	00:00:36.188"
"000000226	022016.875	000.542905	0.027649	2.175712e-07	0.0e+00	00:00:36.344"
"000000227	022016.950	000.515775	0.027924	2.066533e-07	0.0e+00	00:00:36.516"
"000000228	022017.025	000.498662	0.028222	1.997492e-07	0.0e+00	00:00:36.672"
"000000229	022017.100	000.517856	0.029088	2.072938e-07	0.0e+00	00:00:36.844"
"000000230	022017.175	000.571963	0.030344	2.287223e-07	0.0e+00	00:00:37.000"
"000000231	022017.250	000.599574	0.030750	2.396860e-07	0.0e+00	00:00:37.156"
"000000232	022017.325	000.518953	0.031106	2.073978e-07	0.0e+00	00:00:37.328"
"000000233	022017.400	000.546586	0.031472	2.183773e-07	0.0e+00	00:00:37.485"
"000000234	022017.475	000.621208	0.031696	2.481464e-07	0.0e+00	00:00:37.656"
"000000235	022017.550	000.546927	0.032660	2.183060e-07	0.0e+00	00:00:37.766"
"000000236	022017.625	000.418804	0.033651	1.670339e-07	0.0e+00	00:00:37.985"
"000000237	022017.700	000.505925	0.034505	2.016434e-07	0.0e+00	00:00:38.141"
"000000238	022017.775	000.674604	0.035019	2.687625e-07	0.0e+00	00:00:38.313"
"000000239	022017.850	000.562615	0.035529	2.240549e-07	0.0e+00	00:00:38.469"
"000000240	022017.925	000.736527	0.035937	2.932184e-07	0.0e+00	00:00:38.625"
"000000241	022018.000	000.596189	0.036361	2.372683e-07	0.0e+00	00:00:38.797"
"000000242	022018.075	000.506543	0.036811	2.015190e-07	0.0e+00	00:00:38.969"
"000000243	022018.150	000.608176	0.037201	2.418768e-07	0.0e+00	00:00:39.125"
"000000244	022018.225	000.585424	0.037862	2.327059e-07	0.0e+00	00:00:39.297"
"000000245	022018.300	000.545601	0.038027	2.168479e-07	0.0e+00	00:00:39.453"
"000000246	022018.375	000.645499	0.039078	2.563377e-07	0.0e+00	00:00:39.610"
"000000247	022018.450	000.658557	0.039553	2.614250e-07	0.0e+00	00:00:39.781"
"000000248	022018.525	000.592921	0.040870	2.351239e-07	0.0e+00	00:00:39.938"
"000000249	022018.600	000.455922	0.040986	1.807801e-07	0.0e+00	00:00:40.110"
"000000250	022018.675	000.626840	0.041724	2.484061e-07	0.0e+00	00:00:40.266"
"000000251	022018.750	000.564616	0.042106	2.236801e-07	0.0e+00	00:00:40.438"
"000000252	022018.825	000.530781	0.042600	2.101935e-07	0.0e+00	00:00:40.594"
"000000253	022018.900	000.631944	0.043429	2.500908e-07	0.0e+00	00:00:40.781"
"000000254	022018.975	000.556697	0.044858	2.200631e-07	0.0e+00	00:00:40.938"
"000000255	022019.050	000.571892	0.045934	2.258773e-07	0.0e+00	00:00:41.110"
"000000256	022019.125	000.544683	0.047286	2.149012e-07	0.0e+00	00:00:41.266"
"000000257	022019.200	000.589351	0.047776	2.324349e-07	0.0e+00	00:00:41.422"
"000000258	022019.275	000.644192	0.045835	2.544534e-07	0.0e+00	00:00:41.594"
"000000259	022019.350	000.570963	0.045686	2.255549e-07	0.0e+00	00:00:41.750"
"000000260	022019.425	000.650204	0.045873	2.568202e-07	0.0e+00	00:00:41.922"
"000000261	022019.500	000.557028	0.046336	2.199369e-07	0.0e+00	00:00:42.078"
"000000262	022019.575	000.628996	0.047070	2.482088e-07	0.0e+00	00:00:42.235"
"000000263	022019.650	000.689975	0.047834	2.721076e-07	0.0e+00	00:00:42.406"
"000000264	022019.725	000.470317	0.048516	1.853808e-07	0.0e+00	00:00:42.563"
"000000265	022019.800	000.532725	0.049303	2.098492e-07	0.0e+00	00:00:42.719"
"000000266	022019.875	000.589589	0.050097	2.321039e-07	0.0e+00	00:00:42.891"
"000000267	022019.950	000.614703	0.051250	2.417709e-07	0.0e+00	00:00:43.047"
"000000268	022020.025	000.658564	0.051283	2.590156e-07	0.0e+00	00:00:43.203"
"000000269	022020.100	000.657184	0.051752	2.583772e-07	0.0e+00	00:00:43.375"
"000000270	022020.175	000.693242	0.052338	2.724282e-07	0.0e+00	00:00:43.531"
"000000271	022020.250	000.579726	0.053344	2.276391e-07	0.0e+00	00:00:43.688"
"000000272	022020.325	000.570784	0.053735	2.240592e-07	0.0e+00	00:00:43.860"
"000000273	022020.400	000.494886	0.054237	1.941893e-07	0.0e+00	00:00:44.016"
"000000274	022020.475	000.594702	0.055207	2.331785e-07	0.0e+00	00:00:44.172"
"000000275	022020.550	000.641043	0.056555	2.510833e-07	0.0e+00	00:00:44.344"
"000000276	022020.625	000.686014	0.057510	2.684965e-07	0.0e+00	00:00:44.500"
"000000277	022020.700	000.621122	0.057877	2.430288e-07	0.0e+00	00:00:44.672"
"000000278	022020.775	000.746302	0.058692	2.918225e-07	0.0e+00	00:00:44.828"
"000000279	022020.850	000.548836	0.059400	2.144895e-07	0.0e+00	00:00:44.985"
"000000280	022020.925	000.645703	0.060243	2.521800e-07	0.0e+00	00:00:45.156"
"000000281	022021.000	000.451883	0.060386	1.764637e-07	0.0e+00	00:00:45.313"
"000000282	022021.075	000.708723	0.061291	2.765660e-07	0.0e+00	00:00:45.469"
"000000283	022021.150	000.520597	0.061895	2.030574e-07	0.0e+00	00:00:45.641"
"000000284	022021.225	000.611909	0.062950	2.384772e-07	0.0e+00	00:00:45.797"
"000000285	022021.300	000.655226	0.063378	2.552741e-07	0.0e+00	00:00:45.953"
"000000286	022021.375	000.654057	0.064311	2.546334e-07	0.0e+00	00:00:46.125"
"000000287	022021.450	000.469300	0.065002	1.826067e-07	0.0e+00	00:00:46.281"
"000000288	022021.525	000.644338	0.066296	2.504626e-07	0.0e+00	00:00:46.438"
"000000289	022021.600	000.587688	0.067239	2.282746e-07	0.0e+00	00:00:46.610"
"000000290	022021.675	000.605184	0.067550	2.350136e-07	0.0e+00	00:00:46.766"
"000000291	022021.750	000.635653	0.068373	2.466882e-07	0.0e+00	00:00:46.922"
"000000292	022021.825	000.550385	0.069210	2.134583e-07	0.0e+00	00:00:47.094"
"000000293	022021.900	000.562838	0.069873	2.181758e-07	0.0e+00	00:00:47.250"
"000000294	022021.975	000.650573	0.070333	2.520950e-07	0.0e+00	00:00:47.422"
"000000295	022022.050	000.781155	0.071112	3.025126e-07	0.0e+00	00:00:47.578"
"000000296	022022.125	000.703068	0.071769	2.721339e-07	0.0e+00	00:00:47.735"
"000000297	022022.200	000.647063	0.073124	2.501935e-07	0.0e+00	00:00:47.906"
"000000298	022022.275	000.637135	0.074092	2.461707e-07	0.0e+00	00:00:48.063"
"000000299	022022.350	000.742536	0.074733	2.867526e-07	0.0e+00	00:00:48.219"
"000000300	022022.425	000.666759	0.075457	2.573450e-07	0.0e+00	00:00:48.391"
"000000301	022022.500	000.565824	0.076489	2.182140e-07	0.0e+00	00:00:48.547"
"000000302	022022.575	000.723462	0.077530	2.787844e-07	0.0e+00	00:00:48.703"
"000000303	022022.650	000.663023	0.077980	2.554058e-07	0.0e+00	00:00:48.875"
"000000304	022022.725	000.581936	0.078645	2.240551e-07	0.0e+00	00:00:49.031"
"000000305	022022.800	000.780088	0.079409	3.001701e-07	0.0e+00	00:00:49.188"
"000000306	022022.875	000.616099	0.080337	2.368996e-07	0.0e+00	00:00:49.360"
"000000307	022022.950	000.697983	0.081192	2.682089e-07	0.0e+00	00:00:49.516"
"000000308	022023.025	000.642874	0.081698	2.469365e-07	0.0e+00	00:00:49.688"
"000000309	022023.100	000.562476	0.082737	2.158825e-07	0.0e+00	00:00:49.844"
