"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000133	022009.900	000.686177	-0.069986	2.983343e-07	0.0e+00	00:00:20.500"
"000000134	022009.975	000.633897	-0.069078	2.753865e-07	0.0e+00	00:00:20.656"
"000000135	022010.050	000.531183	-0.068151	2.305786e-07	0.0e+00	00:00:20.813"
"000000136	022010.125	000.509584	-0.066252	2.208383e-07	0.0e+00	00:00:20.969"
"000000137	022010.200	000.425039	-0.065345	1.840548e-07	0.0e+00	00:00:21.125"
"000000138	022010.275	000.289069	-0.064558	1.250900e-07	0.0e+00	00:00:21.281"
"000000139	022010.350	000.358038	-0.063661	1.548153e-07	0.0e+00	00:00:21.438"
"000000140	022010.425	000.329762	-0.062377	1.424308e-07	0.0e+00	00:00:21.594"
"000000141	022010.500	000.343143	-0.060957	1.480285e-07	0.0e+00	00:00:21.750"
"000000142	022010.575	000.362294	-0.059693	1.561200e-07	0.0e+00	00:00:21.906"
"000000143	022010.650	000.318816	-0.059011	1.373034e-07	0.0e+00	00:00:22.063"
"000000144	022010.725	000.201027	-0.057650	8.647450e-08	0.0e+00	00:00:22.219"
"000000145	022010.800	000.294144	-0.055972	1.263474e-07	0.0e+00	00:00:22.375"
"000000146	022010.875	000.314969	-0.055230	1.352066e-07	0.0e+00	00:00:22.531"
"000000147	022010.950	000.248613	-0.054446	1.066503e-07	0.0e+00	00:00:22.688"
"000000148	022011.025	000.352233	-0.053518	1.509807e-07	0.0e+00	00:00:22.844"
"000000149	022011.100	000.415495	-0.052563	1.779517e-07	0.0e+00	00:00:23.000"
"000000150	022011.175	000.428316	-0.051069	1.832083e-07	0.0e+00	00:00:23.156"
"000000151	022011.250	000.510986	-0.049812	2.183350e-07	0.0e+00	00:00:23.313"
"000000152	022011.325	000.544623	-0.049392	2.326240e-07	0.0e+00	00:00:23.469"
"000000153	022011.400	000.574946	-0.048284	2.453437e-07	0.0e+00	00:00:23.625"
"000000154	022011.475	000.594679	-0.047045	2.534961e-07	0.0e+00	00:00:23.781"
"000000155	022011.550	000.704681	-0.045615	3.000214e-07	0.0e+00	00:00:23.938"
"000000156	022011.625	000.683855	-0.044720	2.909327e-07	0.0e+00	00:00:24.094"
"000000157	022011.700	000.700862	-0.044489	2.981097e-07	0.0e+00	00:00:24.250"
"000000158	022011.775	000.694029	-0.043603	2.949806e-07	0.0e+00	00:00:24.406"
"000000159	022011.850	000.717201	-0.042341	3.045028e-07	0.0e+00	00:00:24.563"
"000000160	022011.925	000.631672	-0.041012	2.678874e-07	0.0e+00	00:00:24.703"
"000000161	022012.000	000.649373	-0.039893	2.751333e-07	0.0e+00	00:00:24.860"
